exp_id,model,params,cv_mean,cv_std,fold_scores,note,decision
M6_emb_m0.25_w64_do0.15,EmbMLP,"{""mult"": 0.25, ""w"": 64, ""do"": 0.15}",0.13484,0.0086,"[0.12834, 0.14214, 0.13028, 0.14781, 0.12562]",refine 5-fold,giữ → ensemble (đa dạng)
M6_emb_m0.5_w64_do0.15,EmbMLP,"{""mult"": 0.5, ""w"": 64, ""do"": 0.15}",0.15778,0.02221,"[0.13317, 0.18262, 0.13017, 0.1788, 0.16413]",refine 5-fold,dự phòng
M7_blend,Blend-4,"{""w"": [0.9, 0.0, 0.0, 0.1], ""members"": [""Ridge-10"", ""Enet"", ""M4"", ""M6""]}",0.1114,0.00787,"[0.11775, 0.11265, 0.11486, 0.11574, 0.096]","ensemble 4 mô hình, trọng số tune trên OOF | LB lan 1: 0.12581",bản nộp Kaggle lần 1
M2b_ridge_l3_scr,RidgeB-screen,"{""l2"": 3.0, ""feat"": ""308""}",0.11829,0.0,[0.11829],"screening fold0, đặc trưng mới",loại (screening)
M2b_ridge_l10_scr,RidgeB-screen,"{""l2"": 10.0, ""feat"": ""308""}",0.11846,0.0,[0.11846],"screening fold0, đặc trưng mới",loại (screening)
M2b_ridge_l30_scr,RidgeB-screen,"{""l2"": 30.0, ""feat"": ""308""}",0.11962,0.0,[0.11962],"screening fold0, đặc trưng mới",loại (screening)
M2b_ridge_l100_scr,RidgeB-screen,"{""l2"": 100.0, ""feat"": ""308""}",0.12217,0.0,[0.12217],"screening fold0, đặc trưng mới",loại (screening)
M2b_ridge_l3,RidgeB,"{""l2"": 3.0, ""feat"": ""308""}",0.11361,0.00732,"[0.11829, 0.11654, 0.11575, 0.11835, 0.09912]","refine 5-fold, đặc trưng mới",loại (thua l10)
M2b_ridge_l10,RidgeB,"{""l2"": 10.0, ""feat"": ""308""}",0.11201,0.00786,"[0.11846, 0.11314, 0.11532, 0.11647, 0.09666]","refine 5-fold, đặc trưng mới","thua Ridge cũ, chỉ để trộn thử"
M7b_blend2,Blend2,"{""w_old"": 1.0, ""w_new"": 0.0}",0.1114,0.00787,"[0.11775, 0.11265, 0.11486, 0.11574, 0.096]",M7 cũ + Ridge đặc trưng mới,KHÔNG nộp (giống hệt lần 1)
M4b_mlp_h64_scr,MLP1B-screen,"{""h"": 64, ""feat"": ""308""}",0.13108,0.0,[0.13108],"screening fold0, đặc trưng mới",loại (screening)
M4b_mlp_h128_scr,MLP1B-screen,"{""h"": 128, ""feat"": ""308""}",0.13361,0.0,[0.13361],"screening fold0, đặc trưng mới",loại (screening)
M4b_mlp_h64,MLP1B,"{""h"": 64, ""feat"": ""308""}",0.12397,0.01216,"[0.1334, 0.12404, 0.12366, 0.13682, 0.10193]","refine 5-fold, đặc trưng mới",giữ (thắng M4 cũ) -> trộn M7c
M7c_blend3,Blend3,"{""w_old"": 0.9, ""w_new"": 0.1}",0.11128,0.00845,"[0.11836, 0.11178, 0.11481, 0.11651, 0.09495]",M7 cũ + M4b đặc trưng mới,bản nộp Kaggle lần 2
